King Queen Prince Princess Royal Throne Crown Monarch
Doctor Nurse Hospital Medicine Surgery Patient Health Clinic
Computer Algorithm Software Hardware Programmer Code Data Network
Dog Cat Animal Pet Horse Bird Fish Rabbit
Red Blue Green Yellow Color Paint Orange Purple
Teacher Student School Education Book Lesson Class
Soldier Army War Battle General Weapon Victory Defense
Chef Kitchen Cook Food Recipe Restaurant Meal Ingredient
Music Guitar Piano Song Singer Concert Band Melody
Ocean Sea Water Wave Beach Boat Ship Storm
Sun Moon Star Sky Night Planet Galaxy Universe
Tree Forest Leaf Wood Branch Root Garden Plant
Mountain River Valley Lake Desert Canyon Cliff Hill
Car Truck Road Highway Engine Speed Drive Fuel
Law Justice Court Judge Lawyer Crime Sentence Police
Money Bank Investment Economy Market Stock Trade Profit
Country City Capital Nation Government President Border Flag
Art Museum Painting Canvas Brush Sculpture Gallery Artist
Football Basketball Tennis Soccer Sport Game Team Stadium
Family Mother Father Child Brother Sister Home Parent
Fire Smoke Flame Heat Burn Ash Coal Ember
Rain Cloud Thunder Lightning Wind Weather Storm Fog
Gold Silver Diamond Crystal Gem Jewel Ring Precious
Phone Screen Message Signal Tower Communication Call Text
Film Movie Director Script Scene Camera Acting Cinema
Robot Machine Engine Factory Build Tool Assembly Gear
Science Research Theory Experiment Lab Discover Proof Hypothesis
Language Grammar Sentence Verb Noun Letter Speech Writing
Time Clock History Ancient Future Past Calendar Date
Flight Airplane Wing Airport Pilot Travel Sky Land
Ship Anchor Captain Sail Crew Port Harbor Cargo
