step,loss,tri_loss,lr,elapsed_s
1,8.395991,0.000000,0.00000060,0.7
2,8.390156,0.000000,0.00000120,0.9
3,8.381095,0.000000,0.00000180,1.0
4,8.371434,0.000000,0.00000240,1.1
5,8.341219,0.000000,0.00000300,1.2
6,8.323805,0.000000,0.00000360,1.4
7,8.281185,0.000000,0.00000420,1.5
8,8.243449,0.000000,0.00000480,1.6
9,8.209600,0.000000,0.00000540,1.7
10,8.158501,0.000000,0.00000600,1.9
11,8.110098,0.000000,0.00000660,2.0
12,8.077185,0.000000,0.00000720,2.1
13,8.041177,0.000000,0.00000780,2.2
14,7.990200,0.000000,0.00000840,2.3
15,7.945447,0.000000,0.00000900,2.5
16,7.897068,0.000000,0.00000960,2.6
17,7.860487,0.000000,0.00001020,2.7
18,7.822162,0.000000,0.00001080,2.8
19,7.797070,0.000000,0.00001140,3.0
20,7.750744,0.000000,0.00001200,3.1
21,7.731039,0.000000,0.00001260,3.2
22,7.679787,0.000000,0.00001320,3.3
23,7.658280,0.000000,0.00001380,3.5
24,7.632977,0.000000,0.00001440,3.6
25,7.600761,0.000000,0.00001500,3.7
26,7.582128,0.000000,0.00001560,3.8
27,7.555599,0.000000,0.00001620,3.9
28,7.515415,0.000000,0.00001680,4.1
29,7.482157,0.000000,0.00001740,4.2
30,7.459685,0.000000,0.00001800,4.3
31,7.450750,0.000000,0.00001860,4.4
32,7.433191,0.000000,0.00001920,4.6
33,7.423060,0.000000,0.00001980,4.7
34,7.400391,0.000000,0.00002040,4.8
35,7.387813,0.000000,0.00002100,4.9
36,7.376834,0.000000,0.00002160,5.1
37,7.347486,0.000000,0.00002220,5.2
38,7.317872,0.000000,0.00002280,5.3
39,7.342091,0.000000,0.00002340,5.4
40,7.317413,0.000000,0.00002400,5.5
41,7.322396,0.000000,0.00002460,5.7
42,7.300562,0.000000,0.00002520,5.8
43,7.255280,0.000000,0.00002580,5.9
44,7.276875,0.000000,0.00002640,6.0
45,7.239330,0.000000,0.00002700,6.2
46,7.242912,0.000000,0.00002760,6.3
47,7.204168,0.000000,0.00002820,6.4
48,7.200947,0.000000,0.00002880,6.5
49,7.171078,0.000000,0.00002940,6.7
50,7.169518,0.000000,0.00003000,6.8
51,7.169342,0.000000,0.00003060,6.9
52,7.122256,0.000000,0.00003120,7.0
53,7.126864,0.000000,0.00003180,7.1
54,7.089951,0.000000,0.00003240,7.3
55,7.093478,0.000000,0.00003300,7.4
56,7.077663,0.000000,0.00003360,7.5
57,7.045605,0.000000,0.00003420,7.6
58,7.007819,0.000000,0.00003480,7.8
59,6.995543,0.000000,0.00003540,7.9
60,6.979603,0.000000,0.00003600,8.0
61,6.941507,0.000000,0.00003660,8.1
62,6.900299,0.000000,0.00003720,8.3
63,6.928224,0.000000,0.00003780,8.4
64,6.880180,0.000000,0.00003840,8.5
65,6.852212,0.000000,0.00003900,8.6
66,6.842994,0.000000,0.00003960,8.7
67,6.824001,0.000000,0.00004020,8.9
68,6.802279,0.000000,0.00004080,9.0
69,6.741905,0.000000,0.00004140,9.1
70,6.757310,0.000000,0.00004200,9.2
71,6.740026,0.000000,0.00004260,9.4
72,6.671635,0.000000,0.00004320,9.5
73,6.715531,0.000000,0.00004380,9.6
74,6.661845,0.000000,0.00004440,9.7
75,6.632114,0.000000,0.00004500,9.9
76,6.631987,0.000000,0.00004560,10.0
77,6.585663,0.000000,0.00004620,10.1
78,6.567485,0.000000,0.00004680,10.2
79,6.541149,0.000000,0.00004740,10.3
80,6.523279,0.000000,0.00004800,10.5
81,6.517310,0.000000,0.00004860,10.6
82,6.451545,0.000000,0.00004920,10.7
83,6.450099,0.000000,0.00004980,10.8
84,6.438285,0.000000,0.00005040,11.0
85,6.388149,0.000000,0.00005100,11.1
86,6.331739,0.000000,0.00005160,11.2
87,6.375592,0.000000,0.00005220,11.3
88,6.311331,0.000000,0.00005280,11.5
89,6.259803,0.000000,0.00005340,11.6
90,6.243762,0.000000,0.00005400,11.7
91,6.220480,0.000000,0.00005460,11.8
92,6.229258,0.000000,0.00005520,11.9
93,6.205473,0.000000,0.00005580,12.1
94,6.113343,0.000000,0.00005640,12.2
95,6.131346,0.000000,0.00005700,12.3
96,6.075197,0.000000,0.00005760,12.4
97,6.082488,0.000000,0.00005820,12.6
98,6.002598,0.000000,0.00005880,12.7
99,6.007915,0.000000,0.00005940,12.8
100,6.009830,0.000000,0.00006000,12.9
101,5.970818,0.000000,0.00006060,13.1
102,6.004390,0.000000,0.00006120,13.2
103,5.953001,0.000000,0.00006180,13.3
104,5.912233,0.000000,0.00006240,13.4
105,5.898544,0.000000,0.00006300,13.5
106,5.890823,0.000000,0.00006360,13.7
107,5.797185,0.000000,0.00006420,13.8
108,5.863353,0.000000,0.00006480,13.9
