step,lang_loss,tri_loss,sub_loss,lr,entropy,dead_bits,elapsed_s
1,8.3911,0.0000,0.000000,0.000001,0.8292,1,1
51,7.0938,0.0000,0.000000,0.000031,0.1953,47,9
101,5.8001,0.0000,0.000000,0.000061,0.6232,10,18
151,5.0401,0.0000,0.000000,0.000091,0.7737,4,26
201,4.5403,0.0000,0.000000,0.000121,0.8609,0,35
251,4.1910,0.0000,0.000000,0.000151,0.8951,0,44
301,3.9711,0.0000,0.000000,0.000181,0.9145,0,52
351,3.8869,0.0000,0.000000,0.000211,0.9215,0,61
401,3.7752,0.0000,0.000000,0.000241,0.9304,0,69
451,3.5490,0.0000,0.000000,0.000271,0.9292,0,78
501,3.4175,0.0000,0.000000,0.000300,0.9481,0,86
551,3.3844,0.0000,0.000000,0.000300,0.9447,0,95
601,3.1768,0.0000,0.000000,0.000300,0.9496,0,103
651,3.0996,0.0000,0.000000,0.000300,0.9532,0,112
701,3.0390,0.0000,0.000000,0.000300,0.9556,0,121
751,2.9607,0.0000,0.000000,0.000300,0.9580,0,129
801,2.8194,0.0000,0.000000,0.000300,0.9553,0,138
851,2.8406,0.0000,0.000000,0.000300,0.9525,0,147
901,2.7892,0.0000,0.000000,0.000300,0.9657,0,155
951,2.6344,0.0000,0.000000,0.000300,0.9601,0,164
1001,2.7174,0.0000,0.000000,0.000300,0.9657,0,172
1051,2.5615,0.0000,0.000000,0.000300,0.9602,0,181
1101,2.5310,0.0000,0.000000,0.000300,0.9624,0,189
1151,2.5859,0.0000,0.000000,0.000300,0.9619,0,198
1201,2.4923,0.0000,0.000000,0.000300,0.9618,0,207
1251,2.4807,0.0000,0.000000,0.000300,0.9689,0,215
1301,2.4705,0.0000,0.000000,0.000300,0.9723,0,224
1351,2.3348,0.0000,0.000000,0.000300,0.9678,0,232
1401,2.3891,0.0000,0.000000,0.000300,0.9624,0,241
1451,2.3721,0.0000,0.000000,0.000300,0.9649,0,249
1501,2.2616,0.0000,0.000000,0.000300,0.9696,0,258
1551,2.2688,0.0000,0.000000,0.000300,0.9647,0,267
1601,2.2179,0.0000,0.000000,0.000300,0.9672,0,275
1651,2.2331,0.0000,0.000000,0.000300,0.9678,0,284
1701,2.3127,0.0000,0.000000,0.000300,0.9689,0,292
1751,2.2192,0.0000,0.000000,0.000300,0.9642,0,301
1801,2.1339,0.0000,0.000000,0.000299,0.9670,0,309
1851,2.2286,0.0000,0.000000,0.000299,0.9650,0,318
1901,2.1585,0.0000,0.000000,0.000299,0.9688,0,327
1951,2.1961,0.0000,0.000000,0.000299,0.9661,0,335
2001,2.1669,0.0000,0.000000,0.000299,0.9687,0,344
2051,2.0561,0.0000,0.000000,0.000299,0.9690,0,352
2101,2.1263,0.0000,0.000000,0.000299,0.9701,0,361
2151,1.9933,0.0000,0.000000,0.000299,0.9697,0,369
2201,2.0627,0.0000,0.000000,0.000299,0.9701,0,378
2251,2.0558,0.0000,0.000000,0.000299,0.9736,0,387
2301,2.0110,0.0000,0.000000,0.000299,0.9665,0,395
2351,2.0334,0.0000,0.000000,0.000299,0.9691,0,404
2401,1.9995,0.0000,0.000000,0.000299,0.9702,0,412
2451,2.0061,0.0000,0.000000,0.000299,0.9716,0,421
2501,2.0200,0.0000,0.000000,0.000299,0.9708,0,429
2551,1.9681,0.0000,0.000000,0.000299,0.9708,0,438
2601,1.9771,0.0000,0.000000,0.000299,0.9716,0,447
2651,2.0255,0.0000,0.000000,0.000299,0.9716,0,455
2701,1.9426,0.0000,0.000000,0.000299,0.9683,0,464
2751,1.8905,0.0000,0.000000,0.000298,0.9727,0,472
2801,1.9426,0.0000,0.000000,0.000298,0.9698,0,481
2851,1.9735,0.0000,0.000000,0.000298,0.9726,0,490
2901,1.8996,0.0000,0.000000,0.000298,0.9702,0,498
2951,1.9022,0.0000,0.000000,0.000298,0.9727,0,507
3001,1.8988,0.0000,0.000000,0.000298,0.9717,0,515
3051,1.8806,0.0000,0.000000,0.000298,0.9725,0,524
3101,1.9042,0.0000,0.000000,0.000298,0.9730,0,532
3151,1.9366,0.0000,0.000000,0.000298,0.9660,0,541
3201,1.9097,0.0000,0.000000,0.000298,0.9699,0,550
3251,1.8970,0.0000,0.000000,0.000298,0.9718,0,558
3301,1.8638,0.0000,0.000000,0.000298,0.9727,0,567
3351,1.8928,0.0000,0.000000,0.000298,0.9738,0,575
3401,1.9080,0.0000,0.000000,0.000297,0.9703,0,584
3451,1.8782,0.0000,0.000000,0.000297,0.9742,0,592
3501,1.8805,0.0000,0.000000,0.000297,0.9692,0,601
3551,1.8464,0.0000,0.000000,0.000297,0.9757,0,610
3601,1.8716,0.0000,0.000000,0.000297,0.9690,0,618
3651,1.8369,0.0000,0.000000,0.000297,0.9753,0,627
3701,1.8323,0.0000,0.000000,0.000297,0.9740,0,635
3751,1.8090,0.0000,0.000000,0.000297,0.9748,0,644
3801,1.7651,0.0000,0.000000,0.000297,0.9756,0,652
3851,1.7637,0.0000,0.000000,0.000297,0.9776,0,661
3901,1.7955,0.0000,0.000000,0.000297,0.9759,0,670
3951,1.8029,0.0000,0.000000,0.000296,0.9727,0,678
4001,1.7716,0.0000,0.000000,0.000296,0.9694,0,687
4051,1.7642,0.0000,0.000000,0.000296,0.9727,0,695
4101,1.8111,0.0000,0.000000,0.000296,0.9750,0,704
4151,1.7627,0.0000,0.000000,0.000296,0.9737,0,712
4201,1.7075,0.0000,0.000000,0.000296,0.9729,0,721
4251,1.8533,0.0000,0.000000,0.000296,0.9731,0,730
4301,1.8239,0.0000,0.000000,0.000296,0.9760,0,738
4351,1.7498,0.0000,0.000000,0.000296,0.9756,0,747
4401,1.7506,0.0000,0.000000,0.000295,0.9712,0,755
4451,1.7682,0.0000,0.000000,0.000295,0.9760,0,764
