step,lang_loss,tri_loss,sub_loss,lr,entropy,dead_bits,elapsed_s
1,8.4292,0.0000,0.000000,0.000001,0.8001,1,1
51,7.0421,0.0000,0.000000,0.000031,0.2589,44,9
101,5.7722,0.0000,0.000000,0.000061,0.6157,13,18
151,4.9621,0.0000,0.000000,0.000091,0.7797,3,26
201,4.4775,0.0000,0.000000,0.000121,0.8683,0,35
251,4.1523,0.0000,0.000000,0.000151,0.9079,0,43
301,3.9952,0.0000,0.000000,0.000181,0.9175,0,52
351,3.9218,0.0000,0.000000,0.000211,0.9331,0,60
401,3.7366,0.0000,0.000000,0.000241,0.9300,0,69
451,3.5323,0.0000,0.000000,0.000271,0.9404,0,77
501,3.4349,0.0000,0.000000,0.000300,0.9506,0,86
551,3.3156,0.0000,0.000000,0.000300,0.9505,0,95
601,3.2384,0.0000,0.000000,0.000300,0.9493,0,103
651,3.0950,0.0000,0.000000,0.000300,0.9596,0,112
701,3.0093,0.0000,0.000000,0.000300,0.9565,0,120
751,2.9500,0.0000,0.000000,0.000300,0.9651,0,129
801,2.9329,0.0000,0.000000,0.000300,0.9550,0,137
851,2.8366,0.0000,0.000000,0.000300,0.9635,0,146
901,2.7719,0.0000,0.000000,0.000300,0.9636,0,154
951,2.7073,0.0000,0.000000,0.000300,0.9635,0,163
1001,2.6433,0.0000,0.000000,0.000300,0.9653,0,171
1051,2.6253,0.0000,0.000000,0.000300,0.9650,0,180
1101,2.5750,0.0000,0.000000,0.000300,0.9696,0,188
1151,2.4576,0.0000,0.000000,0.000300,0.9668,0,197
1201,2.4623,0.0000,0.000000,0.000300,0.9674,0,206
1251,2.4840,0.0000,0.000000,0.000300,0.9712,0,214
1301,2.4487,0.0000,0.000000,0.000300,0.9682,0,223
1351,2.3813,0.0000,0.000000,0.000300,0.9688,0,231
1401,2.3678,0.0000,0.000000,0.000300,0.9697,0,240
1451,2.3051,0.0000,0.000000,0.000300,0.9672,0,248
1501,2.3645,0.0000,0.000000,0.000300,0.9649,0,257
1551,2.2998,0.0000,0.000000,0.000300,0.9696,0,265
1601,2.2759,0.0000,0.000000,0.000300,0.9711,0,274
1651,2.2277,0.0000,0.000000,0.000300,0.9720,0,282
1701,2.2152,0.0000,0.000000,0.000300,0.9684,0,291
1751,2.2663,0.0000,0.000000,0.000300,0.9747,0,299
1801,2.1972,0.0000,0.000000,0.000299,0.9695,0,308
1851,2.2333,0.0000,0.000000,0.000299,0.9670,0,317
1901,2.1641,0.0000,0.000000,0.000299,0.9694,0,325
1951,2.2074,0.0000,0.000000,0.000299,0.9726,0,334
2001,2.1476,0.0000,0.000000,0.000299,0.9754,0,342
2051,2.0872,0.0000,0.000000,0.000299,0.9701,0,351
2101,2.1141,0.0000,0.000000,0.000299,0.9685,0,359
2151,2.0241,0.0000,0.000000,0.000299,0.9737,0,368
2201,2.1072,0.0000,0.000000,0.000299,0.9744,0,376
2251,2.0567,0.0000,0.000000,0.000299,0.9706,0,385
2301,2.0256,0.0000,0.000000,0.000299,0.9688,0,393
2351,1.9715,0.0000,0.000000,0.000299,0.9716,0,402
2401,1.9728,0.0000,0.000000,0.000299,0.9742,0,410
2451,2.0090,0.0000,0.000000,0.000299,0.9728,0,419
2501,2.0119,0.0000,0.000000,0.000299,0.9720,0,427
2551,2.0408,0.0000,0.000000,0.000299,0.9697,0,436
2601,1.9921,0.0000,0.000000,0.000299,0.9707,0,445
2651,1.9823,0.0000,0.000000,0.000299,0.9781,0,453
2701,1.9901,0.0000,0.000000,0.000299,0.9732,0,462
2751,1.9328,0.0000,0.000000,0.000298,0.9739,0,470
2801,1.8976,0.0000,0.000000,0.000298,0.9751,0,479
2851,1.9167,0.0000,0.000000,0.000298,0.9763,0,487
2901,1.9356,0.0000,0.000000,0.000298,0.9730,0,496
2951,1.8839,0.0000,0.000000,0.000298,0.9740,0,504
3001,1.9332,0.0000,0.000000,0.000298,0.9751,0,513
3051,1.9624,0.0000,0.000000,0.000298,0.9771,0,522
3101,1.9053,0.0000,0.000000,0.000298,0.9763,0,530
3151,1.9313,0.0000,0.000000,0.000298,0.9771,0,539
3201,1.8855,0.0000,0.000000,0.000298,0.9727,0,547
3251,1.8919,0.0000,0.000000,0.000298,0.9745,0,556
3301,1.9047,0.0000,0.000000,0.000298,0.9766,0,564
3351,1.8999,0.0000,0.000000,0.000298,0.9770,0,573
3401,1.8704,0.0000,0.000000,0.000297,0.9779,0,581
3451,1.8369,0.0000,0.000000,0.000297,0.9810,0,590
3501,1.8444,0.0000,0.000000,0.000297,0.9761,0,599
3551,1.8625,0.0000,0.000000,0.000297,0.9798,0,607
3601,1.8408,0.0000,0.000000,0.000297,0.9777,0,616
3651,1.8432,0.0000,0.000000,0.000297,0.9771,0,624
3701,1.8091,0.0000,0.000000,0.000297,0.9765,0,633
3751,1.7584,0.0000,0.000000,0.000297,0.9782,0,641
3801,1.8015,0.0000,0.000000,0.000297,0.9763,0,650
3851,1.7678,0.0000,0.000000,0.000297,0.9796,0,658
3901,1.7703,0.0000,0.000000,0.000297,0.9791,0,667
