step,lang_loss,tri_loss,lr,entropy,dead_bits,elapsed_s
1,8.4611,0.0000,0.000001,0.7989,0,1
51,6.9995,0.0000,0.000031,0.2273,43,9
101,5.7238,0.0000,0.000061,0.5851,13,18
151,4.9437,0.0000,0.000091,0.7669,2,26
201,4.4949,0.0000,0.000121,0.8471,0,35
251,4.2205,0.0000,0.000151,0.8786,0,44
301,4.0003,0.0000,0.000181,0.9005,0,52
351,3.8788,0.0000,0.000211,0.9197,0,61
401,3.6796,0.0000,0.000241,0.9341,0,69
451,3.5117,0.0000,0.000271,0.9357,0,78
501,3.5191,0.0000,0.000300,0.9464,0,86
551,3.2407,0.0000,0.000300,0.9512,0,95
601,3.1855,0.0000,0.000300,0.9525,0,103
651,3.1587,0.0000,0.000300,0.9530,0,112
701,3.0984,0.0000,0.000300,0.9565,0,121
751,2.9548,0.0000,0.000300,0.9586,0,129
801,2.9303,0.0000,0.000300,0.9591,0,138
851,2.7754,0.0000,0.000300,0.9674,0,146
901,2.7652,0.0000,0.000300,0.9626,0,155
951,2.7391,0.0000,0.000300,0.9624,0,163
1001,2.6357,0.0000,0.000300,0.9603,0,172
1051,2.5262,0.0000,0.000300,0.9580,0,181
1101,2.6342,0.0000,0.000300,0.9661,0,189
1151,2.4499,0.0000,0.000300,0.9619,0,198
1201,2.5213,0.0000,0.000300,0.9611,0,206
1251,2.4542,0.0000,0.000300,0.9648,0,215
1301,2.3827,0.0000,0.000300,0.9613,0,223
1351,2.3597,0.0000,0.000300,0.9693,0,232
1401,2.3460,0.0000,0.000300,0.9722,0,241
1451,2.3693,0.0000,0.000300,0.9662,0,249
1501,2.3059,0.0000,0.000300,0.9710,0,258
1551,2.2437,0.0000,0.000300,0.9684,0,266
1601,2.2478,0.0000,0.000300,0.9714,0,275
1651,2.2153,0.0000,0.000300,0.9734,0,283
1701,2.1703,0.0000,0.000300,0.9723,0,292
1751,2.1928,0.0000,0.000300,0.9752,0,301
1801,2.1650,0.0000,0.000299,0.9697,0,309
1851,2.1542,0.0000,0.000299,0.9699,0,318
1901,2.2171,0.0000,0.000299,0.9721,0,326
1951,2.1014,0.0000,0.000299,0.9665,0,335
2001,2.0992,0.0000,0.000299,0.9683,0,343
2051,2.1449,0.0000,0.000299,0.9717,0,352
2101,2.0456,0.0000,0.000299,0.9746,0,361
2151,2.1030,0.0000,0.000299,0.9708,0,369
2201,2.1097,0.0000,0.000299,0.9676,0,378
2251,2.0465,0.0000,0.000299,0.9722,0,386
2301,1.9927,0.0000,0.000299,0.9733,0,395
2351,2.0194,0.0000,0.000299,0.9722,0,403
2401,2.0420,0.0000,0.000299,0.9754,0,412
2451,2.0330,0.0000,0.000299,0.9718,0,421
2501,2.0878,0.0000,0.000299,0.9728,0,429
2551,2.0342,0.0000,0.000299,0.9716,0,438
2601,2.0233,0.0000,0.000299,0.9754,0,446
2651,1.9567,0.0000,0.000299,0.9761,0,455
2701,1.9756,0.0000,0.000299,0.9756,0,463
2751,1.9861,0.0000,0.000298,0.9698,0,472
2801,1.8858,0.0000,0.000298,0.9738,0,481
2851,1.9533,0.0000,0.000298,0.9740,0,489
2901,2.0483,0.0000,0.000298,0.9788,0,498
2951,1.9737,0.0000,0.000298,0.9748,0,506
3001,1.8846,0.0000,0.000298,0.9742,0,515
3051,1.9316,0.0000,0.000298,0.9765,0,523
3101,2.0239,0.0000,0.000298,0.9750,0,532
3151,1.9065,0.0000,0.000298,0.9763,0,541
3201,1.8429,0.0000,0.000298,0.9724,0,549
3251,1.8584,0.0000,0.000298,0.9749,0,558
3301,1.9007,0.0000,0.000298,0.9773,0,566
3351,1.8709,0.0000,0.000298,0.9792,0,575
3401,1.8598,0.0000,0.000297,0.9751,0,583
3451,1.8663,0.0000,0.000297,0.9740,0,592
3501,1.8272,0.0000,0.000297,0.9787,0,601
3551,1.8969,0.0000,0.000297,0.9738,0,609
3601,1.8835,0.0000,0.000297,0.9789,0,618
3651,1.8015,0.0000,0.000297,0.9750,0,626
3701,1.7849,0.0000,0.000297,0.9785,0,635
3751,1.8854,0.0000,0.000297,0.9748,0,643
3801,1.8706,0.0000,0.000297,0.9782,0,652
3851,1.8856,0.0000,0.000297,0.9773,0,661
3901,1.8709,0.0000,0.000297,0.9763,0,669
3951,1.7938,0.0000,0.000296,0.9774,0,678
4001,1.8100,0.0000,0.000296,0.9805,0,686
4051,1.8132,0.0000,0.000296,0.9773,0,695
4101,1.7732,0.0000,0.000296,0.9771,0,703
4151,1.7829,0.0000,0.000296,0.9775,0,712
4201,1.7709,0.0000,0.000296,0.9759,0,721
4251,1.8330,0.0000,0.000296,0.9794,0,729
4301,1.7484,0.0000,0.000296,0.9814,0,738
4351,1.7667,0.0000,0.000296,0.9790,0,746
4401,1.7213,0.0000,0.000295,0.9795,0,755
4451,1.7511,0.0000,0.000295,0.9757,0,763
4501,1.7514,0.0000,0.000295,0.9782,0,772
4551,1.7031,0.0000,0.000295,0.9755,0,781
4601,1.7284,0.0000,0.000295,0.9803,0,789
4651,1.7111,0.0000,0.000295,0.9787,0,798
4701,1.7519,0.0000,0.000295,0.9759,0,806
4751,1.7404,0.0000,0.000295,0.9775,0,815
4801,1.7412,0.0000,0.000294,0.9800,0,823
4851,1.6926,0.0000,0.000294,0.9772,0,832
4901,1.6845,0.0000,0.000294,0.9779,0,840
4951,1.7277,0.0000,0.000294,0.9795,0,849
5001,1.7371,0.0000,0.000294,0.9790,0,858
5051,1.6453,0.0000,0.000294,0.9798,0,866
5101,1.7271,0.0000,0.000294,0.9804,0,875
5151,1.6465,0.0000,0.000294,0.9816,0,883
5201,1.6823,0.0000,0.000293,0.9820,0,892
5251,1.7076,0.0000,0.000293,0.9807,0,900
5301,1.6835,0.0000,0.000293,0.9806,0,909
5351,1.6688,0.0000,0.000293,0.9788,0,918
5401,1.6760,0.0000,0.000293,0.9786,0,926
5451,1.6310,0.0000,0.000293,0.9807,0,935
5501,1.6738,0.0000,0.000293,0.9784,0,943
5551,1.7085,0.0000,0.000292,0.9782,0,952
5601,1.6094,0.0000,0.000292,0.9793,0,960
5651,1.6023,0.0000,0.000292,0.9794,0,969
5701,1.6474,0.0000,0.000292,0.9814,0,978
5751,1.6842,0.0000,0.000292,0.9795,0,986
5801,1.6936,0.0000,0.000292,0.9778,0,995
5851,1.5892,0.0000,0.000291,0.9790,0,1003
5901,1.6312,0.0000,0.000291,0.9753,0,1012
5951,1.6495,0.0000,0.000291,0.9783,0,1020
6001,1.6444,0.0000,0.000291,0.9806,0,1029
6051,1.5998,0.0000,0.000291,0.9823,0,1038
6101,1.6378,0.0000,0.000291,0.9798,0,1046
6151,1.5825,0.0000,0.000290,0.9791,0,1055
6201,1.6388,0.0000,0.000290,0.9776,0,1063
6251,1.5627,0.0000,0.000290,0.9817,0,1072
6301,1.6786,0.0000,0.000290,0.9802,0,1080
6351,1.6493,0.0000,0.000290,0.9795,0,1089
6401,1.5771,0.0000,0.000290,0.9805,0,1097
6451,1.5889,0.0000,0.000289,0.9789,0,1106
6501,1.5731,0.0000,0.000289,0.9814,0,1115
6551,1.6499,0.0000,0.000289,0.9797,0,1123
6601,1.5786,0.0000,0.000289,0.9787,0,1132
6651,1.6288,0.0000,0.000289,0.9783,0,1140
6701,1.5688,0.0000,0.000289,0.9779,0,1149
6751,1.5546,0.0000,0.000288,0.9800,0,1157
6801,1.6338,0.0000,0.000288,0.9817,0,1166
6851,1.5754,0.0000,0.000288,0.9790,0,1175
6901,1.5993,0.0000,0.000288,0.9790,0,1183
6951,1.5799,0.0000,0.000288,0.9801,0,1192
7001,1.5908,0.0000,0.000287,0.9796,0,1200
