step,lang_loss,tri_loss,lr,entropy,dead_bits,elapsed_s
1,8.4305,0.0000,0.000001,0.7806,4,1
51,7.0110,0.0000,0.000031,0.1825,49,9
101,5.8303,0.0000,0.000061,0.6444,7,18
151,4.9669,0.0000,0.000091,0.7881,1,26
201,4.5699,0.0000,0.000121,0.8696,0,35
251,4.2604,0.0000,0.000151,0.9029,0,43
301,4.0199,0.0000,0.000181,0.9212,0,52
351,3.7876,0.0000,0.000211,0.9288,0,61
401,3.7129,0.0000,0.000241,0.9444,0,69
451,3.6252,0.0000,0.000271,0.9519,0,78
501,3.4304,0.0000,0.000300,0.9548,0,86
551,3.3533,0.0000,0.000300,0.9522,0,95
601,3.2124,0.0000,0.000300,0.9605,0,103
651,3.1648,0.0000,0.000300,0.9587,0,112
701,2.9677,0.0000,0.000300,0.9598,0,120
751,3.0697,0.0000,0.000300,0.9597,0,129
801,2.8154,0.0000,0.000300,0.9673,0,138
851,2.8137,0.0000,0.000300,0.9630,0,146
901,2.7462,0.0000,0.000300,0.9697,0,155
951,2.6957,0.0000,0.000300,0.9664,0,163
1001,2.6158,0.0000,0.000300,0.9713,0,172
1051,2.5766,0.0000,0.000300,0.9697,0,180
1101,2.5813,0.0000,0.000300,0.9706,0,189
1151,2.5662,0.0000,0.000300,0.9730,0,198
1201,2.4441,0.0000,0.000300,0.9712,0,206
1251,2.4325,0.0000,0.000300,0.9741,0,215
1301,2.3724,0.0000,0.000300,0.9687,0,223
1351,2.4792,0.0000,0.000300,0.9712,0,232
1401,2.4244,0.0000,0.000300,0.9739,0,240
1451,2.3376,0.0000,0.000300,0.9711,0,249
1501,2.2810,0.0000,0.000300,0.9755,0,257
1551,2.2395,0.0000,0.000300,0.9699,0,266
1601,2.2477,0.0000,0.000300,0.9693,0,275
1651,2.1897,0.0000,0.000300,0.9739,0,283
1701,2.2260,0.0000,0.000300,0.9729,0,292
1751,2.1794,0.0000,0.000300,0.9746,0,300
1801,2.1848,0.0000,0.000299,0.9722,0,309
1851,2.1584,0.0000,0.000299,0.9783,0,317
1901,2.1807,0.0000,0.000299,0.9770,0,326
1951,2.0708,0.0000,0.000299,0.9801,0,335
2001,2.1604,0.0000,0.000299,0.9765,0,343
2051,2.0732,0.0000,0.000299,0.9777,0,352
2101,2.0320,0.0000,0.000299,0.9792,0,360
2151,2.0620,0.0000,0.000299,0.9771,0,369
2201,2.1076,0.0000,0.000299,0.9793,0,377
2251,2.0438,0.0000,0.000299,0.9782,0,386
2301,2.0216,0.0000,0.000299,0.9765,0,395
2351,2.0715,0.0000,0.000299,0.9803,0,403
2401,2.0495,0.0000,0.000299,0.9786,0,412
2451,1.9707,0.0000,0.000299,0.9790,0,420
2501,2.0175,0.0000,0.000299,0.9770,0,429
2551,2.0278,0.0000,0.000299,0.9816,0,437
2601,1.9646,0.0000,0.000299,0.9748,0,446
2651,1.9860,0.0000,0.000299,0.9804,0,455
2701,1.9566,0.0000,0.000299,0.9778,0,463
2751,1.9849,0.0000,0.000298,0.9760,0,472
2801,1.8730,0.0000,0.000298,0.9796,0,480
2851,1.9561,0.0000,0.000298,0.9793,0,489
2901,1.9058,0.0000,0.000298,0.9809,0,497
2951,2.0019,0.0000,0.000298,0.9816,0,506
3001,1.9464,0.0000,0.000298,0.9813,0,515
3051,1.8994,0.0000,0.000298,0.9797,0,523
3101,1.9583,0.0000,0.000298,0.9779,0,532
3151,1.8912,0.0000,0.000298,0.9792,0,540
3201,1.8723,0.0000,0.000298,0.9778,0,549
3251,1.8678,0.0000,0.000298,0.9817,0,557
3301,1.8897,0.0000,0.000298,0.9800,0,566
3351,1.8176,0.0000,0.000298,0.9811,0,575
3401,1.8744,0.0000,0.000297,0.9796,0,583
3451,1.8788,0.0000,0.000297,0.9802,0,592
3501,1.8239,0.0000,0.000297,0.9802,0,600
3551,1.8721,0.0000,0.000297,0.9794,0,609
3601,1.8022,0.0000,0.000297,0.9809,0,617
3651,1.8065,0.0000,0.000297,0.9804,0,626
3701,1.8334,0.0000,0.000297,0.9769,0,635
3751,1.8182,0.0000,0.000297,0.9814,0,643
3801,1.7885,0.0000,0.000297,0.9809,0,652
3851,1.8833,0.0000,0.000297,0.9770,0,660
3901,1.8381,0.0000,0.000297,0.9831,0,669
3951,1.8026,0.0000,0.000296,0.9821,0,677
4001,1.8948,0.0000,0.000296,0.9763,0,686
4051,1.7668,0.0000,0.000296,0.9824,0,695
4101,1.7890,0.0000,0.000296,0.9771,0,703
4151,1.7525,0.0000,0.000296,0.9800,0,712
4201,1.7924,0.0000,0.000296,0.9830,0,720
4251,1.7177,0.0000,0.000296,0.9815,0,729
4301,1.7121,0.0000,0.000296,0.9826,0,737
4351,1.8001,0.0000,0.000296,0.9802,0,746
4401,1.7536,0.0000,0.000295,0.9813,0,755
4451,1.7760,0.0000,0.000295,0.9813,0,763
4501,1.6672,0.0000,0.000295,0.9814,0,772
4551,1.7260,0.0000,0.000295,0.9830,0,780
4601,1.8206,0.0000,0.000295,0.9827,0,789
4651,1.6991,0.0000,0.000295,0.9815,0,797
4701,1.7172,0.0000,0.000295,0.9846,0,806
4751,1.7292,0.0000,0.000295,0.9817,0,815
4801,1.7723,0.0000,0.000294,0.9826,0,823
4851,1.6788,0.0000,0.000294,0.9840,0,832
4901,1.6670,0.0000,0.000294,0.9818,0,840
4951,1.7149,0.0000,0.000294,0.9828,0,849
5001,1.6782,0.0000,0.000294,0.9825,0,857
5051,1.7017,0.0000,0.000294,0.9788,0,866
5101,1.6920,0.0000,0.000294,0.9787,0,875
5151,1.7088,0.0000,0.000294,0.9831,0,883
5201,1.7484,0.0000,0.000293,0.9822,0,892
5251,1.6384,0.0000,0.000293,0.9812,0,900
5301,1.7131,0.0000,0.000293,0.9843,0,909
5351,1.6301,0.0000,0.000293,0.9828,0,917
5401,1.6496,0.0000,0.000293,0.9818,0,926
5451,1.6213,0.0000,0.000293,0.9805,0,934
5501,1.6290,0.0000,0.000293,0.9832,0,943
5551,1.6652,0.0000,0.000292,0.9806,0,952
5601,1.6549,0.0000,0.000292,0.9801,0,960
5651,1.6549,0.0000,0.000292,0.9801,0,969
5701,1.5873,0.0000,0.000292,0.9809,0,977
5751,1.6664,0.0000,0.000292,0.9812,0,986
5801,1.6300,0.0000,0.000292,0.9832,0,994
5851,1.7101,0.0000,0.000291,0.9807,0,1003
5901,1.6089,0.0000,0.000291,0.9826,0,1012
5951,1.6367,0.0000,0.000291,0.9820,0,1020
6001,1.6266,0.0000,0.000291,0.9788,0,1029
6051,1.6149,0.0000,0.000291,0.9824,0,1037
6101,1.6714,0.0000,0.000291,0.9786,0,1046
6151,1.6130,0.0000,0.000290,0.9839,0,1054
6201,1.6175,0.0000,0.000290,0.9839,0,1063
6251,1.5720,0.0000,0.000290,0.9816,0,1072
6301,1.5823,0.0000,0.000290,0.9837,0,1080
6351,1.6084,0.0000,0.000290,0.9799,0,1089
6401,1.5980,0.0000,0.000290,0.9824,0,1097
6451,1.6192,0.0000,0.000289,0.9813,0,1106
6501,1.5396,0.0000,0.000289,0.9831,0,1114
6551,1.6057,0.0000,0.000289,0.9818,0,1123
6601,1.5682,0.0000,0.000289,0.9832,0,1132
6651,1.6417,0.0000,0.000289,0.9819,0,1140
6701,1.6545,0.0000,0.000289,0.9830,0,1149
6751,1.6028,0.0000,0.000288,0.9804,0,1157
6801,1.6171,0.0000,0.000288,0.9807,0,1166
6851,1.5688,0.0000,0.000288,0.9806,0,1174
6901,1.5428,0.0000,0.000288,0.9837,0,1183
6951,1.5789,0.0000,0.000288,0.9815,0,1192
7001,1.5691,0.0000,0.000287,0.9836,0,1200
7051,1.5020,0.0000,0.000287,0.9821,0,1209
7101,1.5503,0.0000,0.000287,0.9823,0,1217
7151,1.5080,0.0000,0.000287,0.9825,0,1226
7201,1.6297,0.0000,0.000287,0.9806,0,1234
7251,1.5759,0.0000,0.000286,0.9802,0,1243
7301,1.5714,0.0000,0.000286,0.9811,0,1252
7351,1.5756,0.0000,0.000286,0.9831,0,1260
7401,1.5779,0.0000,0.000286,0.9847,0,1269
7451,1.5679,0.0000,0.000286,0.9820,0,1277
7501,1.5314,0.0000,0.000285,0.9840,0,1286
7551,1.5088,0.0000,0.000285,0.9822,0,1294
7601,1.5322,0.0000,0.000285,0.9818,0,1303
7651,1.4226,0.0000,0.000285,0.9825,0,1312
7701,1.5249,0.0000,0.000285,0.9815,0,1320
7751,1.5352,0.0000,0.000284,0.9833,0,1329
7801,1.5893,0.0000,0.000284,0.9811,0,1337
7851,1.5507,0.0000,0.000284,0.9783,0,1346
7901,1.5184,0.0000,0.000284,0.9815,0,1354
7951,1.4744,0.0000,0.000284,0.9815,0,1363
8001,1.4826,0.0000,0.000283,0.9829,0,1372
8051,1.5139,0.0000,0.000283,0.9835,0,1380
8101,1.4481,0.0000,0.000283,0.9813,0,1389
8151,1.5156,0.0000,0.000283,0.9817,0,1397
8201,1.5019,0.0000,0.000282,0.9820,0,1406
8251,1.5330,0.0000,0.000282,0.9801,0,1414
8301,1.4782,0.0000,0.000282,0.9833,0,1423
8351,1.5149,0.0000,0.000282,0.9795,0,1432
8401,1.5325,0.0000,0.000282,0.9796,0,1440
8451,1.4498,0.0000,0.000281,0.9823,0,1449
8501,1.4880,0.0000,0.000281,0.9811,0,1457
8551,1.4253,0.0000,0.000281,0.9830,0,1466
8601,1.4203,0.0000,0.000281,0.9805,0,1474
8651,1.4772,0.0000,0.000280,0.9816,0,1483
8701,1.4830,0.0000,0.000280,0.9808,0,1492
8751,1.5176,0.0000,0.000280,0.9807,0,1500
8801,1.5310,0.0000,0.000280,0.9822,0,1509
8851,1.5376,0.0000,0.000279,0.9789,0,1517
8901,1.5062,0.0000,0.000279,0.9821,0,1526
8951,1.4656,0.0000,0.000279,0.9808,0,1534
9001,1.4474,0.0000,0.000279,0.9804,0,1543
9051,1.5557,0.0000,0.000278,0.9797,0,1552
9101,1.4346,0.0000,0.000278,0.9802,0,1560
9151,1.4480,0.0000,0.000278,0.9822,0,1569
9201,1.4484,0.0000,0.000278,0.9809,0,1577
9251,1.5013,0.0000,0.000277,0.9810,0,1586
9301,1.3983,0.0000,0.000277,0.9843,0,1594
9351,1.5260,0.0000,0.000277,0.9797,0,1603
9401,1.4784,0.0000,0.000277,0.9832,0,1612
9451,1.4336,0.0000,0.000276,0.9817,0,1620
9501,1.4567,0.0000,0.000276,0.9828,0,1629
9551,1.4884,0.0000,0.000276,0.9806,0,1637
9601,1.4170,0.0000,0.000276,0.9829,0,1646
9651,1.4464,0.0000,0.000275,0.9804,0,1654
9701,1.4666,0.0000,0.000275,0.9818,0,1663
9751,1.4897,0.0000,0.000275,0.9809,0,1672
9801,1.4876,0.0000,0.000275,0.9827,0,1680
9851,1.4233,0.0000,0.000274,0.9808,0,1689
9901,1.3781,0.0000,0.000274,0.9826,0,1697
9951,1.5036,0.0000,0.000274,0.9822,0,1706
10001,1.4209,0.0000,0.000274,0.9829,0,1714
10051,1.3361,0.0000,0.000273,0.9821,0,1723
10101,1.3844,0.0000,0.000273,0.9818,0,1732
10151,1.4316,0.0000,0.000273,0.9814,0,1740
10201,1.4213,0.0000,0.000272,0.9798,0,1749
10251,1.4432,0.0000,0.000272,0.9802,0,1757
10301,1.4222,0.0000,0.000272,0.9839,0,1766
10351,1.4486,0.0000,0.000272,0.9799,0,1774
10401,1.3792,0.0000,0.000271,0.9810,0,1783
10451,1.4420,0.0000,0.000271,0.9806,0,1792
10501,1.4162,0.0000,0.000271,0.9804,0,1800
10551,1.4010,0.0000,0.000271,0.9806,0,1809
10601,1.4181,0.0000,0.000270,0.9792,0,1817
10651,1.3810,0.0000,0.000270,0.9823,0,1826
10701,1.4155,0.0000,0.000270,0.9792,0,1834
10751,1.4295,0.0000,0.000269,0.9789,0,1843
10801,1.4319,0.0000,0.000269,0.9776,0,1852
10851,1.4515,0.0000,0.000269,0.9790,0,1860
10901,1.4008,0.0000,0.000268,0.9790,0,1869
10951,1.4009,0.0000,0.000268,0.9789,0,1877
11001,1.4200,0.0000,0.000268,0.9798,0,1886
11051,1.3984,0.0000,0.000268,0.9805,0,1894
11101,1.4353,0.0000,0.000267,0.9818,0,1903
11151,1.3773,0.0000,0.000267,0.9817,0,1912
11201,1.3481,0.0000,0.000267,0.9816,0,1920
11251,1.3762,0.0000,0.000266,0.9825,0,1929
11301,1.3480,0.0000,0.000266,0.9821,0,1937
11351,1.3862,0.0000,0.000266,0.9808,0,1946
11401,1.4136,0.0000,0.000266,0.9803,0,1954
11451,1.3068,0.0000,0.000265,0.9818,0,1963
11501,1.3948,0.0000,0.000265,0.9795,0,1972
11551,1.4047,0.0000,0.000265,0.9777,0,1980
11601,1.3400,0.0000,0.000264,0.9823,0,1989
11651,1.4372,0.0000,0.000264,0.9818,0,1997
11701,1.3600,0.0000,0.000264,0.9807,0,2006
11751,1.3789,0.0000,0.000263,0.9793,0,2014
11801,1.3549,0.0000,0.000263,0.9812,0,2023
11851,1.3405,0.0000,0.000263,0.9786,0,2032
11901,1.3308,0.0000,0.000262,0.9788,0,2040
11951,1.3345,0.0000,0.000262,0.9800,0,2049
12001,1.3268,0.0000,0.000262,0.9812,0,2057
12051,1.3766,0.0000,0.000261,0.9791,0,2066
12101,1.3831,0.0000,0.000261,0.9802,0,2074
12151,1.3767,0.0000,0.000261,0.9820,0,2083
12201,1.3679,0.0000,0.000261,0.9811,0,2092
12251,1.3978,0.0000,0.000260,0.9808,0,2100
12301,1.3464,0.0000,0.000260,0.9799,0,2109
12351,1.3336,0.0000,0.000260,0.9802,0,2117
12401,1.3648,0.0000,0.000259,0.9788,0,2126
12451,1.3412,0.0000,0.000259,0.9778,0,2134
12501,1.3050,0.0000,0.000259,0.9788,0,2143
12551,1.3708,0.0000,0.000258,0.9803,0,2152
12601,1.3136,0.0000,0.000258,0.9801,0,2160
12651,1.3331,0.0000,0.000258,0.9807,0,2169
12701,1.3297,0.0000,0.000257,0.9792,0,2177
12751,1.2991,0.0000,0.000257,0.9772,0,2186
12801,1.2848,0.0000,0.000257,0.9797,0,2194
12851,1.3033,0.0000,0.000256,0.9811,0,2203
12901,1.2854,0.0000,0.000256,0.9782,0,2212
